timestamp,price,regime,balance
2026-08-21T08:21:17.610291+00:00,305563.0,trending,28.19
2026-08-21T08:44:39.863753+00:00,305563.0,trending,28.19
2026-08-21T12:54:44.159399+00:00,307477.0,trending,28.19
2026-08-21T16:38:37.772318+00:00,309476.0,trending,28.19
2026-08-21T20:29:28.300567+00:00,308946.0,trending,28.19
2026-08-22T01:23:58.550207+00:00,312185.0,-,28.19
2026-08-22T04:05:14.048408+00:00,312299.0,trending,100.0
2026-08-22T04:09:40.124735+00:00,312299.0,trending,100.0
2026-08-22T04:36:32.702262+00:00,312299.0,trending,100.0
2026-08-22T04:45:26.091886+00:00,312299.0,trending,100.0
2026-08-22T08:34:12.069726+00:00,310496.0,trending,100.0
2026-08-22T12:45:30.564791+00:00,306953.0,trending,59.21
2026-08-22T16:28:26.188889+00:00,305190.0,trending,59.21
2026-08-22T20:26:57.385631+00:00,307119.0,trending,59.21
2026-08-23T01:37:36.307538+00:00,305831.0,trending,59.21
2026-08-23T04:41:05.401727+00:00,306226.0,trending,59.21
2026-08-23T08:34:28.205320+00:00,304001.0,trending,59.21
2026-08-23T12:46:27.138093+00:00,308076.0,trending,59.21
