timestamp,price,regime,balance
2026-08-21T08:21:21.277217+00:00,305563.0,trending,50.0
2026-08-21T08:52:55.007699+00:00,305563.0,trending,50.0
2026-08-21T09:47:55.642266+00:00,313998.0,trending,50.0
2026-08-21T10:40:06.198374+00:00,310500.0,trending,50.0
2026-08-21T11:35:10.046590+00:00,311151.0,trending,50.0
2026-08-21T13:04:53.872004+00:00,309240.0,trending,50.0
2026-08-21T14:47:23.510796+00:00,309774.0,trending,50.0
2026-08-21T15:42:52.356629+00:00,309999.0,trending,50.0
2026-08-21T16:46:13.278261+00:00,309476.0,trending,50.0
2026-08-21T17:38:03.974066+00:00,310778.0,trending,50.0
2026-08-21T18:50:57.371309+00:00,310544.0,trending,50.0
2026-08-21T19:32:30.819830+00:00,308602.0,trending,50.0
2026-08-21T20:35:09.667635+00:00,308946.0,trending,50.0
2026-08-21T21:33:43.961916+00:00,309993.0,trending,50.0
2026-08-21T22:35:12.761355+00:00,311833.0,trending,50.0
2026-08-21T23:32:53.907839+00:00,312100.0,trending,50.0
2026-08-22T01:45:16.038107+00:00,310029.0,trending,50.0
2026-08-22T03:02:40.438664+00:00,310998.0,trending,50.0
2026-08-22T03:53:04.395082+00:00,310998.0,trending,50.0
2026-08-22T04:05:17.747328+00:00,312299.0,trending,100.0
2026-08-22T04:14:26.513542+00:00,312299.0,trending,100.0
2026-08-22T04:38:03.390376+00:00,312299.0,trending,100.0
2026-08-22T04:42:58.428772+00:00,312299.0,trending,100.0
2026-08-22T04:54:38.471200+00:00,312299.0,trending,100.0
2026-08-22T05:01:24.288333+00:00,312736.0,ranging,100.0
2026-08-22T05:36:17.533362+00:00,312736.0,ranging,100.0
2026-08-22T06:54:35.233195+00:00,309997.0,ranging,100.0
2026-08-22T07:39:04.563059+00:00,310455.0,ranging,100.0
2026-08-22T08:41:03.336931+00:00,310496.0,ranging,100.0
2026-08-22T09:36:41.805518+00:00,310126.0,ranging,100.0
2026-08-22T10:34:14.170029+00:00,309246.0,ranging,100.0
2026-08-22T11:30:08.674260+00:00,308218.0,ranging,100.0
2026-08-22T12:55:53.844943+00:00,306953.0,ranging,100.0
2026-08-22T13:39:04.102970+00:00,308883.0,trending,100.0
2026-08-22T14:31:45.358853+00:00,308075.0,trending,100.0
2026-08-22T15:30:50.179710+00:00,307108.0,trending,100.0
2026-08-22T16:35:21.704438+00:00,305190.0,trending,100.0
